event_count,typical_p50_dbfs,loud_p90_dbfs,loud_p95_dbfs,max_dbfs,typical_prominence_db,loud_prominence_p90_db,product,speed_rpm,video,duration_s,overall_low_mid_rms_dbfs,overall_hiss_rms_dbfs
110,-43.47768937270411,-34.67510583041741,-31.078435965656798,-23.030649168148752,1.7939498690927995,7.5770018299422395,东德竞品,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\700rpm\700.mp4,71.14448979591836,-38.136411979820885,-23.705550058702414
99,-54.04313001641804,-32.83387093394454,-28.159697936485852,-22.55649132649775,-0.23902459201252185,9.269814584440233,东德竞品,800,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\800rpm\800.mp4,51.15210884353741,-36.666115090382846,-24.008767034696845
46,-43.83507123716568,-35.5829536794115,-32.207571844537696,-29.159788812740356,4.075521972741081,9.562020095563197,东德竞品,900,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\900rpm\900.mp4,24.54204081632653,-40.18046026840131,-23.732684451833986
34,-52.77262757786488,-27.845071761094204,-27.654897034219193,-24.73004936127101,-0.7300162199307778,13.157414755217587,东德竞品,1125,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\东德泵老程序测试_0707\1125rpm\1125.mp4,18.92281179138322,-35.01563568901466,-23.678033088920753
66,-49.30172100495095,-28.553262868571473,-22.364975479818582,-21.82836164702868,0.7406002098554344,13.411477207802701,富瑞自研,600,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\富瑞泵老程序测试_0709\600rpm\600.mp4,43.53596371882086,-34.855229049843885,-24.959082542843753
90,-46.670000418519564,-31.851844482199,-27.139867736338445,-24.426232078690578,1.291793333827574,11.92448309311853,富瑞自研,700,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\富瑞泵老程序测试_0709\700rpm\700.mp4,57.70013605442177,-37.719305536034746,-24.27474241482887
129,-52.141943334518004,-32.79421786338499,-28.51716055503641,-24.102755671724427,0.48521935839885333,10.98578839302463,富瑞自研,800,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\富瑞泵老程序测试_0709\800rpm\800.mp4,73.76834467120182,-38.15602117510509,-23.90752053383192
104,-41.305593906101464,-29.749250030871465,-28.81662350032662,-21.18455949250218,1.3539900191489562,8.780713407317943,富瑞自研,900,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\富瑞泵老程序测试_0709\900rpm\900.mp4,56.748117913832196,-34.719871430374575,-23.7131638332584
120,-41.095077806456224,-28.193244803836546,-25.15123370086753,-22.5610522498679,1.19559332448979,10.078761969775785,富瑞自研,1000,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\富瑞泵老程序测试_0709\1000rpm\1000.mp4,72.51446712018141,-34.522250781083216,-23.268883307038138
28,-26.881173610395606,-25.64340779744549,-25.54728305327817,-25.01313987754348,12.776341402717602,13.542851716845002,富瑞自研,1125,C:\FRCloud\FRQ\04_Pump Development\06_HPDI低温泵_加密\03_Testing\02_LNG测试\260709\富瑞泵老程序测试_0709\1125rpm\1125.mp4,25.935238095238095,-32.95428436831789,-23.088228417611347
