series_id,test_date,product,configuration,short_label,speed_rpm,run,duration_s,event_count,common_thump_est_dba,loud_thump_est_dba,common_comparison,loud_comparison,common_difference_db,loud_difference_db,initial_common_comparison,initial_loud_comparison,initial_common_difference_db,initial_loud_difference_db,above_dd_loud_share_pct,result,has_meter,subjective,notes
FR_0716_CYL_800,2026-07-16,富瑞后续,换26号嵌套油缸 + 老控制器,0716嵌套油缸,800,800rpm,53.0097052154195,58,75.94414392825037,77.77203036245439,高于 5.7 dB,低于 3.1 dB,5.676402960797347,3.1105161581927234,高于 10.3 dB,低于 4.1 dB,10.28859335526451,4.116840523839926,1.7241379310344827,明显低于东德,是,,绝对dB(A)为工程估算；同转速相对差值优先。
FR_0716_CYL_900,2026-07-16,富瑞后续,换26号嵌套油缸 + 老控制器,0716嵌套油缸,900,900rpm,50.014331065759634,45,74.85713591354342,77.5019197196305,高于 5.5 dB,低于 2.1 dB,5.464620117320763,2.054538751073963,高于 3.9 dB,低于 1.2 dB,3.8930283954442046,1.17817075767762,2.2222222222222223,明显低于东德,是,,绝对dB(A)为工程估算；同转速相对差值优先。
FR_0716_CYL_1000,2026-07-16,富瑞后续,换26号嵌套油缸 + 老控制器,0716嵌套油缸,1000,1000rpm,51.47718820861678,45,73.90178338572703,75.88421405464057,无同转速基准,无同转速基准,,,高于 6.1 dB,低于 2.8 dB,6.088855721263329,2.844200508680899,,无东德同转速基准,是,,绝对dB(A)为工程估算；同转速相对差值优先。
FR_0716_CYL_1125,2026-07-16,富瑞后续,换26号嵌套油缸 + 老控制器,0716嵌套油缸,1125,1125rpm,47.20471655328798,52,74.06490624436755,76.72029794313046,高于 19.1 dB,低于 0.8 dB,19.059980691158145,0.8370713843858937,高于 16.6 dB,低于 2.7 dB,16.576383924545873,2.669976851419321,11.538461538461538,略低于/接近东德,是,,绝对dB(A)为工程估算；同转速相对差值优先。
FR_0716_SHUTTLE_900_R1,2026-07-16,富瑞后续,换26号嵌套油缸 + 西港梭阀 + 老控制器,0716西港梭阀R1,900,900rpm-1,36.848616780045354,32,72.87179759076551,76.63401343020587,高于 3.5 dB,低于 2.9 dB,3.4792817945428567,2.9224450404985873,高于 1.9 dB,低于 2.0 dB,1.9076900726662984,2.0460770471022443,0.0,明显低于东德,否,,绝对dB(A)为工程估算；同转速相对差值优先。
FR_0716_SHUTTLE_900_R2,2026-07-16,富瑞后续,换26号嵌套油缸 + 西港梭阀 + 老控制器,0716西港梭阀R2,900,900rpm-2,20.22312925170068,14,74.39105244690448,81.83738778209432,高于 5.0 dB,高于 2.3 dB,4.998536650681828,2.280929311389869,高于 3.4 dB,高于 3.2 dB,3.42694492880527,3.157297304786212,7.142857142857142,明显高于东德,否,,绝对dB(A)为工程估算；同转速相对差值优先。
FR_0716_SHUTTLE_1000,2026-07-16,富瑞后续,换26号嵌套油缸 + 西港梭阀 + 老控制器,0716西港梭阀,1000,1000rpm,62.320907029478455,57,74.98990640412859,79.74186619159597,无同转速基准,无同转速基准,,,高于 7.2 dB,高于 1.0 dB,7.176978739664889,1.0134516282745096,,无东德同转速基准,否,,绝对dB(A)为工程估算；同转速相对差值优先。
FR_0722_B_HEAT_900,2026-07-22,富瑞后续,A样改B样 + 热处理活塞 + 嵌套油缸 + 老控制器,0722热处理活塞+B样,900,900rpm,24.472380952380952,24,77.48212257857968,82.06701909597429,高于 8.1 dB,高于 2.5 dB,8.089606782357023,2.5105606252698323,高于 6.5 dB,高于 3.4 dB,6.518015060480465,3.3869286186661753,33.33333333333333,明显高于东德,否,,绝对dB(A)为工程估算；同转速相对差值优先。
FR_0722_B_HEAT_1000,2026-07-22,富瑞后续,A样改B样 + 热处理活塞 + 嵌套油缸 + 老控制器,0722热处理活塞+B样,1000,1000rpm,24.681360544217686,27,74.08197829350846,79.36793904350421,无同转速基准,无同转速基准,,,高于 6.3 dB,高于 0.6 dB,6.269050629044756,0.6395244801827431,,无东德同转速基准,否,,绝对dB(A)为工程估算；同转速相对差值优先。
FR_DELIVERY_0723_700,2026-07-23,富瑞后续,交付泵,0723交付泵,700,700rpm,38.9384126984127,33,74.8393950935193,77.9177393836219,高于 3.4 dB,低于 2.1 dB,3.3649272654879354,2.061157512011988,高于 3.8 dB,低于 4.7 dB,3.781143300094186,4.690155662391021,0.0,明显低于东德,否,用户主观感觉声音较好,绝对dB(A)为工程估算；同转速相对差值优先。 用户主观感觉声音较好。
